study_hours,attendance,group_discussion,previous_test_score,final_exam_pass
8,50,Yes,41,Fail
16,67,Yes,80,Fail
12,96,Yes,59,Pass
9,64,Yes,59,Pass
8,89,Yes,58,Fail
20,62,No,64,Pass
12,70,Yes,72,Fail
12,69,Yes,43,Fail
5,81,Yes,30,Fail
9,74,No,59,Pass
4,46,Yes,36,Fail
3,99,No,62,Fail
13,55,Yes,65,Pass
7,65,Yes,62,Pass
3,87,Yes,54,Fail
2,96,Yes,47,Fail
13,91,No,73,Fail
13,99,No,74,Fail
18,88,No,88,Fail
11,41,Yes,35,Fail
17,40,Yes,64,Pass
16,87,No,78,Pass
16,51,Yes,66,Fail
20,44,Yes,73,Pass
13,76,Yes,42,Fail
4,71,Yes,33,Fail
6,98,No,58,Fail
20,94,No,92,Pass
8,48,No,44,Fail
10,80,Yes,64,Pass
8,74,Yes,68,Fail
19,58,Yes,77,Pass
5,87,Yes,49,Fail
15,55,Yes,46,Fail
19,42,No,53,Pass
10,59,No,57,Fail
3,63,Yes,46,Fail
16,93,No,97,Pass
8,95,No,54,Fail
13,72,Yes,62,Fail
9,63,No,53,Fail
16,91,Yes,100,Pass
4,50,Yes,34,Fail
15,88,Yes,93,Pass
18,47,No,68,Fail
5,75,Yes,58,Fail
19,77,Yes,92,Pass
9,79,Yes,60,Fail
5,59,Yes,29,Fail
3,74,No,38,Fail
7,87,No,72,Fail
11,64,Yes,65,Fail
5,74,Yes,41,Fail
19,64,Yes,73,Pass
13,68,Yes,46,Fail
3,57,Yes,48,Fail
11,85,Yes,75,Fail
5,57,Yes,37,Fail
15,41,No,58,Fail
17,93,No,63,Fail
16,74,Yes,68,Pass
9,55,Yes,61,Fail
15,100,No,92,Pass
9,80,Yes,62,Fail
17,75,No,76,Fail
14,72,No,75,Fail
19,43,Yes,64,Fail
16,72,Yes,56,Pass
14,53,No,59,Pass
10,60,Yes,56,Fail
16,87,Yes,90,Fail
14,59,No,47,Pass
2,95,Yes,47,Fail
8,47,Yes,40,Fail
10,46,No,35,Fail
2,42,Yes,29,Fail
13,56,Yes,65,Pass
9,72,No,52,Pass
12,87,Yes,90,Pass
20,51,No,70,Fail
18,98,No,85,Pass
9,90,Yes,58,Pass
4,61,Yes,29,Fail
4,94,Yes,47,Fail
2,61,Yes,20,Fail
6,85,Yes,51,Fail
11,69,No,59,Fail
8,77,Yes,32,Fail
10,77,Yes,59,Fail
8,84,No,58,Pass
10,90,Yes,71,Pass
9,93,No,76,Pass
13,47,Yes,62,Pass
3,66,Yes,31,Fail
2,66,No,27,Fail
17,73,No,81,Fail
6,60,No,37,Fail
4,69,No,29,Fail
13,72,No,89,Fail
9,67,Yes,50,Pass
4,86,Yes,42,Fail
2,72,No,20,Fail
4,44,No,38,Fail
6,99,No,50,Pass
16,100,Yes,85,Pass
15,87,Yes,86,Pass
4,58,No,26,Fail
2,43,Yes,25,Fail
6,74,No,64,Fail
15,88,No,53,Pass
8,56,Yes,37,Fail
10,83,No,53,Pass
16,67,No,68,Fail
16,69,Yes,71,Pass
11,68,No,47,Pass
14,85,Yes,67,Pass
20,92,No,84,Pass
8,45,Yes,37,Fail
18,74,No,80,Pass
5,99,Yes,66,Fail
6,80,Yes,62,Fail
8,76,No,61,Fail
14,63,Yes,55,Fail
16,68,Yes,71,Pass
12,88,No,93,Pass
5,85,No,61,Pass
14,92,Yes,72,Pass
8,70,No,67,Fail
20,74,Yes,79,Fail
3,99,Yes,45,Fail
11,72,Yes,74,Pass
14,91,No,63,Fail
7,100,No,43,Fail
13,60,No,69,Pass
13,71,No,65,Pass
12,62,Yes,59,Fail
8,72,Yes,49,Fail
2,42,Yes,22,Pass
2,57,Yes,26,Fail
14,64,Yes,58,Pass
10,81,No,58,Fail
4,70,Yes,37,Pass
8,93,Yes,54,Pass
7,97,Yes,56,Fail
9,42,No,20,Fail
10,79,No,67,Fail
6,85,Yes,57,Pass
2,63,Yes,33,Fail
20,89,No,92,Pass
11,71,Yes,62,Fail
13,86,No,64,Fail
16,61,No,62,Fail
10,62,Yes,58,Fail
18,41,Yes,66,Fail
18,66,No,95,Pass
13,81,Yes,85,Pass
8,41,Yes,48,Fail
3,65,No,29,Pass
4,56,No,30,Fail
18,79,No,71,Pass
6,72,No,50,Pass
18,48,Yes,39,Pass
18,82,Yes,77,Pass
18,93,No,84,Pass
3,87,Yes,31,Fail
3,78,Yes,51,Fail
6,68,No,34,Fail
2,81,Yes,44,Fail
2,94,Yes,75,Fail
20,65,Yes,63,Pass
3,74,Yes,39,Fail
13,89,Yes,68,Fail
7,64,Yes,40,Fail
5,63,Yes,48,Fail
12,52,No,64,Fail
18,99,No,97,Pass
7,97,Yes,54,Fail
6,46,No,60,Fail
3,96,Yes,33,Fail
7,75,Yes,41,Fail
12,84,No,69,Fail
17,59,Yes,70,Fail
17,40,No,65,Fail
2,47,Yes,42,Fail
10,85,No,62,Pass
7,55,Yes,43,Fail
17,53,No,60,Fail
4,51,Yes,39,Fail
5,90,No,50,Fail
20,62,Yes,75,Pass
4,54,Yes,40,Fail
20,67,No,90,Fail
8,73,Yes,31,Fail
10,41,No,47,Fail
2,71,No,34,Fail
9,62,Yes,60,Pass
8,61,No,45,Fail
19,90,Yes,100,Pass
9,64,No,45,Fail
2,97,Yes,26,Fail
